Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
Code table 1.4 - Type of data,,5,,Control and perturbed forecast products,,,,Operational
Code table 1.4 - Type of data,,6,,Processed satellite observations,,,,Operational
Code table 1.4 - Type of data,,7,,Processed radar observations,,,,Operational
Code table 1.4 - Type of data,,8,,Event probability,,,,Operational
Code table 1.4 - Type of data,,9-191,,Reserved,,,,Operational
Code table 1.4 - Type of data,,192-254,,Reserved for local use,,,,Operational
Code table 1.4 - Type of data,,255,,Missing,,,,Operational
Code table 1.5 - Identification template number,,0,,Calendar definition,,,,Operational
Code table 1.5 - Identification template number,,1,,Paleontological offset,,,,Operational
Code table 1.5 - Identification template number,,2,,Calendar definition and paleontological offset,,,,Operational
Code table 1.5 - Identification template number,,3-32767,,Reserved,,,,Operational
Code table 1.5 - Identification template number,,32768-65534,,Reserved for local use,,,,Operational
Code table 1.5 - Identification template number,,65535,,Missing,,,,Operational
Code table 1.6 - Type of calendar,,0,,Gregorian,,,,Operational
Code table 1.6 - Type of calendar,,1,,360-day,,,,Operational
Code table 1.6 - Type of calendar,,2,,365-day,(see Note 1),47,,Operational
Code table 1.6 - Type of calendar,,3,,Proleptic Gregorian,(see Note 2),48,,Operational
Code table 1.6 - Type of calendar,,4-191,,Reserved,,,,Operational
Code table 1.6 - Type of calendar,,192-254,,Reserved for local use,,,,Operational
Code table 1.6 - Type of calendar,,255,,Missing,,,,Operational
Code table 3.0 - Source of grid definition,,0,,Specified in Code table 3.1,,,,Operational
Code table 3.0 - Source of grid definition,,1,,Predetermined grid definition,(see Note),42,,Operational
Code table 3.0 - Source of grid definition,,2-191,,Reserved,,,,Operational
Code table 3.0 - Source of grid definition,,192-254,,Reserved for local use,,,,Operational
Code table 3.0 - Source of grid definition,,255,,A grid definition does not apply to this product,,,,Operational
Code table 3.1 - Grid definition template number,,0,,Latitude/longitude,(see Note 1),27,,Operational
Code table 3.1 - Grid definition template number,,1,,Rotated latitude/longitude,,,,Operational
Code table 3.1 - Grid definition template number,,2,,Stretched latitude/longitude,,,,Operational
Code table 3.1 - Grid definition template number,,3,,Stretched and rotated latitude/longitude,,,,Operational
Code table 3.1 - Grid definition template number,,4,,Variable resolution latitude/longitude,,,,Operational
Code table 3.1 - Grid definition template number,,5,,Variable resolution rotated latitude/longitude,,,,Operational
Code table 3.1 - Grid definition template number,,6-9,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,10,,Mercator,,,,Operational
Code table 3.1 - Grid definition template number,,11,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,12,,Transverse Mercator,,,,Operational
Code table 3.1 - Grid definition template number,,13,,Mercator with modelling subdomains definition,,,,Operational
Code table 3.1 - Grid definition template number,,14-19,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,20,,Polar stereographic projection,(see Note 2),36,,Operational
Code table 3.1 - Grid definition template number,,21-22,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,23,,Polar stereographic with modelling subdomains definition,,,,Operational
Code table 3.1 - Grid definition template number,,24-29,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,30,,Lambert conformal,(see Note 3),35,,Operational
Code table 3.1 - Grid definition template number,,31,,Albers equal area,,,,Operational
Code table 3.1 - Grid definition template number,,32,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,33,,Lambert conformal with modelling subdomains definition,,,,Operational
Code table 3.1 - Grid definition template number,,34-39,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,40,,Gaussian latitude/longitude,,,,Operational
Code table 3.1 - Grid definition template number,,41,,Rotated Gaussian latitude/longitude,,,,Operational
Code table 3.1 - Grid definition template number,,42,,Stretched Gaussian latitude/longitude,,,,Operational
Code table 3.1 - Grid definition template number,,43,,Stretched and rotated Gaussian latitude/longitude,,,,Operational
Code table 3.1 - Grid definition template number,,44-49,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,50,,Spherical harmonic coefficients,,,,Operational
Code table 3.1 - Grid definition template number,,51,,Rotated spherical harmonic coefficients,,,,Operational
Code table 3.1 - Grid definition template number,,52,,Stretched spherical harmonic coefficients,,,,Operational
Code table 3.1 - Grid definition template number,,53,,Stretched and rotated spherical harmonic coefficients,,,,Operational
Code table 3.1 - Grid definition template number,,54-60,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,61,,Spectral Mercator with modelling subdomains definition,,,,Operational
Code table 3.1 - Grid definition template number,,62,,Spectral polar stereographic with modelling subdomains definition,,,,Operational
Code table 3.1 - Grid definition template number,,63,,Spectral Lambert conformal with modelling subdomains definition,,,,Operational
Code table 3.1 - Grid definition template number,,64-89,,Reserved,,,,Operational
