Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
Identification template 1.0 - calendar definition,24,Type of calendar,(see Code table 1.6),,1.6,,Operational
Identification template 1.1 - paleontological offset,24-25,Number of tens of thousands of years of offset,,,,,Operational
Identification template 1.2 - calendar definition and paleontological offset,24,Type of calendar,(see Code table 1.6),,1.6,,Operational
Identification template 1.2 - calendar definition and paleontological offset,25-26,Number of tens of thousands of years of offset,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",15,Shape of the Earth,(see Code table 3.2),,3.2,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",16,Scale factor of radius of spherical Earth,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",17-20,Scaled value of radius of spherical Earth,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",21,Scale factor of major axis of oblate spheroid Earth,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",22-25,Scaled value of major axis of oblate spheroid Earth,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",26,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",27-30,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",31-34,Ni - number of points along a parallel,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",35-38,Nj - number of points along a meridian,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",39-42,Basic angle of the initial production domain,(see Note 1),9,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",43-46,"Subdivisions of basic angle used to define extreme longitudes and latitudes, and direction increments",(see Note 1),9,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",47-50,La1 - latitude of first grid point,(see Note 1),9,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",51-54,Lo1 - longitude of first grid point,(see Note 1),,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",55,Resolution and component flags,(see Flag table 3.3),,,3.3,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",56-59,La2 - latitude of last grid point,(see Note 1),9,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",60-63,Lo2 - longitude of last grid point,(see Note 1),9,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",64-67,Di - i direction increment,(see Notes 1 and 5),"9,45",,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",68-71,Dj - j direction increment,(see Notes 1 and 5),"9,45",,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",72,Scanning mode,(see Flag table 3.4),,,3.4,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",73-nn,List of number of points along each meridian or parallel,"(see Notes 2, 3 and 7)","4,15,124",,,Operational
"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)",15-72,Same as grid definition template 3.0,(see Note 1),9,,,Operational
"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)",73-76,Latitude of the southern pole of projection,,,,,Operational
"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)",77-80,Longitude of the southern pole of projection,,,,,Operational
"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)",81-84,Angle of rotation of projection,,,,,Operational
"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)",85-nn,List of number of points along each meridian or parallel,(see Notes 3 and 4),"4,124",,,Operational
"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)",15-72,Same as grid definition template 3.0,(see Note 1),9,,,Operational
"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)",73-76,Latitude of the pole of stretching,,,,,Operational
"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)",77-80,Longitude of the pole of stretching,,,,,Operational
"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)",81-84,Stretching factor,,,,,Operational
"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)",85-nn,List of number of points along each meridian or parallel,(see Notes 3 and 4),"4,124",,,Operational
"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)",15-72,Same as grid definition template 3.0,(see Note 1),9,,,Operational
"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)",73-76,Latitude of the southern pole of projection,,,,,Operational
"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)",77-80,Longitude of the southern pole of projection,,,,,Operational
"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)",81-84,Angle of rotation of projection,,,,,Operational
"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)",85-88,Latitude of the pole of stretching,,,,,Operational
"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)",89-92,Longitude of the pole of stretching,,,,,Operational
"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)",93-96,Stretching factor,,,,,Operational
"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)",97-nn,List of number of points along each meridian or parallel,(see Notes 3 and 4),"4,124",,,Operational
Grid definition template 3.4 - variable resolution latitude/longitude,(ii+1)-jj,List of latitudes,(see Notes 1 and 3),"9,85",,,Operational
Grid definition template 3.4 - variable resolution latitude/longitude,15,Shape of the Earth,(see Code table 3.2),,3.2,,Operational
Grid definition template 3.4 - variable resolution latitude/longitude,16,Scale factor of radius of spherical Earth,,,,,Operational
Grid definition template 3.4 - variable resolution latitude/longitude,17-20,Scaled value of radius of spherical Earth,,,,,Operational
Grid definition template 3.4 - variable resolution latitude/longitude,21,Scale factor of major axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.4 - variable resolution latitude/longitude,22-25,Scaled value of major axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.4 - variable resolution latitude/longitude,26,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.4 - variable resolution latitude/longitude,27-30,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.4 - variable resolution latitude/longitude,31-34,Ni - number of points along a parallel,,,,,Operational
Grid definition template 3.4 - variable resolution latitude/longitude,35-38,Nj - number of points along a meridian,,,,,Operational
Grid definition template 3.4 - variable resolution latitude/longitude,39-42,Basic angle of the initial production domain,(see Note 1),9,,,Operational
Grid definition template 3.4 - variable resolution latitude/longitude,43-46,"Subdivisions of basic angle used to define extreme longitudes and latitudes, and direction increments",(see Note 1),9,,,Operational
Grid definition template 3.4 - variable resolution latitude/longitude,47,Resolution and component flags,(see Flag table 3.3 and Note 2),114,,3.3,Operational
Grid definition template 3.4 - variable resolution latitude/longitude,48,Scanning mode,(see Flag table 3.4),,,3.4,Operational
Grid definition template 3.4 - variable resolution latitude/longitude,49-ii,List of longitudes,(see Notes 1 and 3),"9,85",,,Operational
Grid definition template 3.5 - variable resolution rotated latitude/longitude,(ii+1)-jj,List of latitudes,(see Notes 1 and 3),"9,26",,,Operational
Grid definition template 3.5 - variable resolution rotated latitude/longitude,15-48,Same as grid definition template 3.4,(see Note 1),9,,,Operational
Grid definition template 3.5 - variable resolution rotated latitude/longitude,49-52,Latitude of the southern pole of projection,(see Note 4),65,,,Operational
Grid definition template 3.5 - variable resolution rotated latitude/longitude,53-56,Longitude of the southern pole of projection,(see Note 4),65,,,Operational
Grid definition template 3.5 - variable resolution rotated latitude/longitude,57-60,Angle of rotation of projection,(see Note 4),65,,,Operational
Grid definition template 3.5 - variable resolution rotated latitude/longitude,61-ii,List of longitudes,(see Notes 1 and 3),"9,26",,,Operational
Grid definition template 3.10 - Mercator,15,Shape of the Earth,(see Code table 3.2),,3.2,,Operational
Grid definition template 3.10 - Mercator,16,Scale factor of radius of spherical Earth,,,,,Operational
Grid definition template 3.10 - Mercator,17-20,Scaled value of radius of spherical Earth,,,,,Operational
Grid definition template 3.10 - Mercator,21,Scale factor of major axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.10 - Mercator,22-25,Scaled value of major axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.10 - Mercator,26,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.10 - Mercator,27-30,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.10 - Mercator,31-34,Ni - number of points along a parallel,,,,,Operational
Grid definition template 3.10 - Mercator,35-38,Nj - number of points along a meridian,,,,,Operational
Grid definition template 3.10 - Mercator,39-42,La1 - latitude of first grid point,,,,,Operational
Grid definition template 3.10 - Mercator,43-46,Lo1 - longitude of first grid point,,,,,Operational
Grid definition template 3.10 - Mercator,47,Resolution and component flags,(see Flag table 3.3),,,3.3,Operational
Grid definition template 3.10 - Mercator,48-51,LaD - latitude(s) at which the Mercator projection intersects the Earth (Latitude(s) where Di and Dj are specified),,,,,Operational
Grid definition template 3.10 - Mercator,52-55,La2 - latitude of last grid point,,,,,Operational
Grid definition template 3.10 - Mercator,56-59,Lo2 - longitude of last grid point,,,,,Operational
Grid definition template 3.10 - Mercator,60,Scanning mode,(see Flag table 3.4),,,3.4,Operational
Grid definition template 3.10 - Mercator,61-64,"Orientation of the grid, angle between i direction on the map and the Equator",(see Note 1),49,,,Operational
Grid definition template 3.10 - Mercator,65-68,Di - longitudinal direction grid length,(see Note 2),28,,,Operational
Grid definition template 3.10 - Mercator,69-72,Dj - latitudinal direction grid length,(see Note 2),28,,,Operational
Grid definition template 3.10 - Mercator,73-nn,List of number of points along each meridian or parallel,"(see Notes 4, 5 and 6)","4,124,136",,,Operational
Grid definition template 3.12 - transverse Mercator,15,Shape of the Earth,(see Code table 3.2),,3.2,,Operational
Grid definition template 3.12 - transverse Mercator,16,Scale factor of radius of spherical Earth,,,,,Operational
Grid definition template 3.12 - transverse Mercator,17-20,Scaled value of radius of spherical Earth,,,,,Operational
Grid definition template 3.12 - transverse Mercator,21,Scale factor of major axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.12 - transverse Mercator,22-25,Scaled value of major axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.12 - transverse Mercator,26,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.12 - transverse Mercator,27-30,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.12 - transverse Mercator,31-34,Ni - number of points along i-axis,,,,,Operational
Grid definition template 3.12 - transverse Mercator,35-38,Nj - number of points along j-axis,,,,,Operational
Grid definition template 3.12 - transverse Mercator,39-42,LaR - geographic latitude of reference point,,,,,Operational
Grid definition template 3.12 - transverse Mercator,43-46,LoR - geographic longitude of reference point,,,,,Operational
Grid definition template 3.12 - transverse Mercator,47,Resolution and component flags,(see Flag table 3.3),,,3.3,Operational
Grid definition template 3.12 - transverse Mercator,48-51,m - scale factor at reference point ratio of distance on map to distance on spheroid (IEEE 32-bit floating-point values),,,,,Operational
Grid definition template 3.12 - transverse Mercator,52-55,"XR - false easting, i-direction coordinate of reference point in units of 10-2 m",,,,,Operational
Grid definition template 3.12 - transverse Mercator,56-59,"YR - false northing, j-direction coordinate of reference point in units of 10-2 m",,,,,Operational
Grid definition template 3.12 - transverse Mercator,60,Scanning mode,(see Flag table 3.4),,,3.4,Operational
Grid definition template 3.12 - transverse Mercator,61-64,Di - i-direction increment length in units of  10-2 m,,,,,Operational
Grid definition template 3.12 - transverse Mercator,65-68,Dj - j-direction increment length in units of 10-2 m,,,,,Operational
Grid definition template 3.12 - transverse Mercator,69-72,x1 - i-direction coordinate of the first grid point in units of 10-2 m,,,,,Operational
Grid definition template 3.12 - transverse Mercator,73-76,y1 - j-direction coordinate of the first grid point in units of 10-2 m,,,,,Operational
Grid definition template 3.12 - transverse Mercator,77-80,x2 - i-direction coordinate of the last grid point in units of 10-2 m,,,,,Operational
Grid definition template 3.12 - transverse Mercator,81-84,y2 - j-direction coordinate of the last grid point in units of 10-2 m,,,,,Operational
Grid definition template 3.13 - Mercator with modelling subdomains definition,[nn+1]-[nn+4],Nux - size of model forecast subdomain in x-direction (number of grid points),,,,,Operational
Grid definition template 3.13 - Mercator with modelling subdomains definition,[nn+5]-[nn+8],Ncx - width of coupling area within forecast domain in x-direction (number of grid points),,,,,Operational
Grid definition template 3.13 - Mercator with modelling subdomains definition,[nn+9]-[nn+12],Nuy - size of model forecast subdomain in y-direction (number of grid points),,,,,Operational
Grid definition template 3.13 - Mercator with modelling subdomains definition,[nn+13]-[nn+16],Ncy - width of coupling area within forecast domain in y-direction (number of grid points),,,,,Operational
Grid definition template 3.13 - Mercator with modelling subdomains definition,15-nn,Same as grid definition template 3.10,,,,,Operational
Grid definition template 3.20 - polar stereographic projection,15,Shape of the Earth,(see Code table 3.2),,3.2,,Operational
Grid definition template 3.20 - polar stereographic projection,16,Scale factor of radius of spherical Earth,,,,,Operational
Grid definition template 3.20 - polar stereographic projection,17-20,Scaled value of radius of spherical Earth,,,,,Operational
Grid definition template 3.20 - polar stereographic projection,21,Scale factor of major axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.20 - polar stereographic projection,22-25,Scaled value of major axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.20 - polar stereographic projection,26,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.20 - polar stereographic projection,27-30,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.20 - polar stereographic projection,31-34,Nx - number of points along the x-axis,,,,,Operational
Grid definition template 3.20 - polar stereographic projection,35-38,Ny - number of points along the y-axis,,,,,Operational
Grid definition template 3.20 - polar stereographic projection,39-42,La1 - latitude of first grid point,,,,,Operational
Grid definition template 3.20 - polar stereographic projection,43-46,Lo1 - longitude of first grid point,,,,,Operational
Grid definition template 3.20 - polar stereographic projection,47,Resolution and component flags,(see Flag table 3.3 and Note 1),114,,3.3,Operational
Grid definition template 3.20 - polar stereographic projection,48-51,LaD - latitude where Dx and Dy are specified,,,,,Operational
Grid definition template 3.20 - polar stereographic projection,52-55,LoV - orientation of the grid,(see Note 2),51,,,Operational
Grid definition template 3.20 - polar stereographic projection,56-59,Dx - x-direction grid length,(see Note 3),28,,,Operational
Grid definition template 3.20 - polar stereographic projection,60-63,Dy - y-direction grid length,(see Note 3),28,,,Operational
Grid definition template 3.20 - polar stereographic projection,64,Projection centre flag,(see Flag table 3.5),,,3.5,Operational
Grid definition template 3.20 - polar stereographic projection,65,Scanning mode,(see Flag table 3.4),,,3.4,Operational
Grid definition template 3.23 - polar stereographic with modelling subdomains definition,15-65,Same as grid definition template 3.20,,,,,Operational
Grid definition template 3.23 - polar stereographic with modelling subdomains definition,66-69,Nux - size of model forecast subdomain in x-direction (number of grid points),,,,,Operational
Grid definition template 3.23 - polar stereographic with modelling subdomains definition,70-73,Ncx - width of coupling area within forecast domain in x-direction (number of grid points),,,,,Operational
Grid definition template 3.23 - polar stereographic with modelling subdomains definition,74-77,Nuy - size of model forecast subdomain in y-direction (number of grid points),,,,,Operational
Grid definition template 3.23 - polar stereographic with modelling subdomains definition,78-81,Ncy - width of coupling area within forecast domain in y-direction (number of grid points),,,,,Operational
Grid definition template 3.30 - Lambert conformal,15,Shape of the Earth,(see Code table 3.2),,3.2,,Operational
Grid definition template 3.30 - Lambert conformal,16,Scale factor of radius of spherical Earth,,,,,Operational
Grid definition template 3.30 - Lambert conformal,17-20,Scaled value of radius of spherical Earth,,,,,Operational
Grid definition template 3.30 - Lambert conformal,21,Scale factor of major axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.30 - Lambert conformal,22-25,Scaled value of major axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.30 - Lambert conformal,26,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.30 - Lambert conformal,27-30,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.30 - Lambert conformal,31-34,Nx - number of points along the x-axis,,,,,Operational
Grid definition template 3.30 - Lambert conformal,35-38,Ny - number of points along the y-axis,,,,,Operational
Grid definition template 3.30 - Lambert conformal,39-42,La1 - latitude of first grid point,,,,,Operational
Grid definition template 3.30 - Lambert conformal,43-46,Lo1 - longitude of first grid point,,,,,Operational
Grid definition template 3.30 - Lambert conformal,47,Resolution and component flags,(see Note 3 and Flag table 3.3),114,,3.3,Operational
Grid definition template 3.30 - Lambert conformal,48-51,LaD - latitude where Dx and Dy are specified,,,,,Operational
Grid definition template 3.30 - Lambert conformal,52-55,LoV - longitude of meridian parallel to y-axis along which latitude increases as the y-coordinate increases,(see Note 4),51,,,Operational
Grid definition template 3.30 - Lambert conformal,56-59,Dx - x-direction grid length,(see Note 1),28,,,Operational
Grid definition template 3.30 - Lambert conformal,60-63,Dy - y-direction grid length,(see Note 1),28,,,Operational
Grid definition template 3.30 - Lambert conformal,64,Projection centre flag,(see Flag table 3.5),,,3.5,Operational
Grid definition template 3.30 - Lambert conformal,65,Scanning mode,(see Flag table 3.4),,,3.4,Operational
Grid definition template 3.30 - Lambert conformal,66-69,Latin 1 - first latitude from the pole at which the secant cone cuts the sphere,,,,,Operational
Grid definition template 3.30 - Lambert conformal,70-73,Latin 2 - second latitude from the pole at which the secant cone cuts the sphere,,,,,Operational
Grid definition template 3.30 - Lambert conformal,74-77,Latitude of the southern pole of projection,,,,,Operational
Grid definition template 3.30 - Lambert conformal,78-81,Longitude of the southern pole of projection,,,,,Operational
Grid definition template 3.31 - Albers equal area,15,Shape of the Earth,(see Code table 3.2),,3.2,,Operational
Grid definition template 3.31 - Albers equal area,16,Scale factor of radius of spherical Earth,,,,,Operational
Grid definition template 3.31 - Albers equal area,17-20,Scaled value of radius of spherical Earth,,,,,Operational
Grid definition template 3.31 - Albers equal area,21,Scale factor of major axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.31 - Albers equal area,22-25,Scaled value of major axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.31 - Albers equal area,26,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.31 - Albers equal area,27-30,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.31 - Albers equal area,31-34,Nx - number of points along the x-axis,,,,,Operational
Grid definition template 3.31 - Albers equal area,35-38,Ny - number of points along the y-axis,,,,,Operational
Grid definition template 3.31 - Albers equal area,39-42,La1 - latitude of first grid point,,,,,Operational
Grid definition template 3.31 - Albers equal area,43-46,Lo1 - longitude of first grid point,,,,,Operational
Grid definition template 3.31 - Albers equal area,47,Resolution and component flags,(see Note 3 and Flag table 3.3),114,,3.3,Operational
Grid definition template 3.31 - Albers equal area,48-51,LaD - latitude where Dx and Dy are specified,,,,,Operational
Grid definition template 3.31 - Albers equal area,52-55,LoV - longitude of meridian parallel to y-axis along which latitude increases as the y-coordinate increases,(see Note 4),51,,,Operational
Grid definition template 3.31 - Albers equal area,56-59,Dx - x-direction grid length,(see Note 1),28,,,Operational
Grid definition template 3.31 - Albers equal area,60-63,Dy - y-direction grid length,(see Note 1),28,,,Operational
Grid definition template 3.31 - Albers equal area,64,Projection centre flag,(see Flag table 3.5),,,3.5,Operational
Grid definition template 3.31 - Albers equal area,65,Scanning mode,(see Flag table 3.4),,,3.4,Operational
Grid definition template 3.31 - Albers equal area,66-69,Latin 1 - first latitude from the pole at which the secant cone cuts the sphere,,,,,Operational
Grid definition template 3.31 - Albers equal area,70-73,Latin 2 - second latitude from the pole at which the secant cone cuts the sphere,,,,,Operational
Grid definition template 3.31 - Albers equal area,74-77,Latitude of the southern pole of projection,,,,,Operational
Grid definition template 3.31 - Albers equal area,78-81,Longitude of the southern pole of projection,,,,,Operational
Grid definition template 3.33 - Lambert conformal with modelling subdomains definition,15-81,Same as grid definition template 3.30,,,,,Operational
Grid definition template 3.33 - Lambert conformal with modelling subdomains definition,82-85,Nux - size of model forecast subdomain in x-direction (number of grid points),,,,,Operational
Grid definition template 3.33 - Lambert conformal with modelling subdomains definition,86-89,Ncx - width of coupling area within forecast domain in x-direction (number of grid points),,,,,Operational
Grid definition template 3.33 - Lambert conformal with modelling subdomains definition,90-93,Nuy - size of model forecast subdomain in y-direction (number of grid points),,,,,Operational
Grid definition template 3.33 - Lambert conformal with modelling subdomains definition,94-97,Ncy - width of coupling area within forecast domain in y-direction (number of grid points),,,,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,15,Shape of the Earth,(see Code table 3.2),,3.2,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,16,Scale factor of radius of spherical Earth,,,,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,17-20,Scaled value of radius of spherical Earth,,,,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,21,Scale factor of major axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,22-25,Scaled value of major axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,26,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,27-30,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,31-34,Ni - number of points along a parallel,,,,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,35-38,Nj - number of points along a meridian,,,,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,39-42,Basic angle of the initial production domain,(see Note 1),9,,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,43-46,"Subdivisions of basic angle used to define extreme longitudes and latitudes, and direction increments",(see Note 1),9,,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,47-50,La1 - latitude of first grid point,(see Note 1),9,,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,51-54,Lo1 - longitude of first grid point,(see Note 1),9,,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,55,Resolution and component flags,(see Flag table 3.3),,,3.3,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,56-59,La2 - latitude of last grid point,(see Note 1),9,,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,60-63,Lo2 - longitude of last grid point,(see Note 1),9,,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,64-67,Di - i direction increment,(see Notes 1 and 5),"9,45",,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,68-71,N - number of parallels between a pole and the Equator,(see Note 2),87,,,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,72,Scanning mode,(see Flag table 3.4),,,3.4,Operational
Grid definition template 3.40 - Gaussian latitude/longitude,73-nn,List of number of points along each meridian or parallel,(see Notes 4 and 6),"4,124",,,Operational
Grid definition template 3.41 - rotated Gaussian latitude/longitude,15-72,Same as grid definition template 3.40,(see Note 1),9,,,Operational
Grid definition template 3.41 - rotated Gaussian latitude/longitude,73-76,Latitude of the southern pole of projection,,,,,Operational
Grid definition template 3.41 - rotated Gaussian latitude/longitude,77-80,Longitude of the southern pole of projection,,,,,Operational
Grid definition template 3.41 - rotated Gaussian latitude/longitude,81-84,Angle of rotation of projection,,,,,Operational
Grid definition template 3.41 - rotated Gaussian latitude/longitude,85-nn,List of number of points along each meridian or parallel,(see Notes 4 and 5),"4,124",,,Operational
Grid definition template 3.42 - stretched Gaussian latitude/longitude,15-72,Same as grid definition template 3.40,(see Note 1),9,,,Operational
Grid definition template 3.42 - stretched Gaussian latitude/longitude,73-76,Latitude of the pole of stretching,,,,,Operational
Grid definition template 3.42 - stretched Gaussian latitude/longitude,77-80,Longitude of the pole of stretching,,,,,Operational
Grid definition template 3.42 - stretched Gaussian latitude/longitude,81-84,Stretching factor,,,,,Operational
Grid definition template 3.42 - stretched Gaussian latitude/longitude,85-nn,List of number of points along each meridian or parallel,(see Notes 4 and 5),"4,124",,,Operational
Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude,15-72,Same as grid definition template 3.40,(see Note 1),9,,,Operational
Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude,73-76,Latitude of the southern pole of projection,,,,,Operational
Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude,77-80,Longitude of the southern pole of projection,,,,,Operational
Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude,81-84,Angle of rotation of projection,,,,,Operational
Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude,85-88,Latitude of the pole of stretching,,,,,Operational
Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude,89-92,Longitude of the pole of stretching,,,,,Operational
Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude,93-96,Stretching factor,,,,,Operational
Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude,97-nn,List of number of points along each meridian or parallel,(see Notes 5 and 6),"4,124",,,Operational
Grid definition template 3.50 - spherical harmonic coefficients,15-18,J - pentagonal resolution parameter,,,,,Operational
Grid definition template 3.50 - spherical harmonic coefficients,19-22,K - pentagonal resolution parameter,,,,,Operational
Grid definition template 3.50 - spherical harmonic coefficients,23-26,M - pentagonal resolution parameter,,,,,Operational
Grid definition template 3.50 - spherical harmonic coefficients,27,Representation type indicating the method used to define the norm,(see Code table 3.6),,3.6,,Operational
Grid definition template 3.50 - spherical harmonic coefficients,28,Representation mode indicating the order of the coefficients,(see Code table 3.7),,3.7,,Operational
Grid definition template 3.51 - rotated spherical harmonic coefficients,15-28,Same as grid definition template 3.50,,,,,Operational
Grid definition template 3.51 - rotated spherical harmonic coefficients,29-32,Latitude of the southern pole of projection,,,,,Operational
Grid definition template 3.51 - rotated spherical harmonic coefficients,33-36,Longitude of the southern pole of projection,,,,,Operational
Grid definition template 3.51 - rotated spherical harmonic coefficients,37-40,Angle of rotation of projection,,,,,Operational
Grid definition template 3.52 - stretched spherical harmonic coefficients,15-28,Same as grid definition template 3.50,,,,,Operational
Grid definition template 3.52 - stretched spherical harmonic coefficients,29-32,Latitude of the pole of stretching,,,,,Operational
Grid definition template 3.52 - stretched spherical harmonic coefficients,33-36,Longitude of the pole of stretching,,,,,Operational
Grid definition template 3.52 - stretched spherical harmonic coefficients,37-40,Stretching factor,,,,,Operational
Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients,15-28,Same as grid definition template 3.50,,,,,Operational
Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients,29-32,Latitude of the southern pole of projection,,,,,Operational
Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients,33-36,Longitude of the southern pole of projection,,,,,Operational
Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients,37-40,Angle of rotation of projection,,,,,Operational
Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients,41-44,Latitude of pole of stretching,,,,,Operational
Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients,45-48,Longitude of pole of stretching,,,,,Operational
Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients,49-52,Stretching factor,,,,,Operational
